transaction_id,wallet_id,transaction_amount,transaction_fee,block_confirmation_time,input_count,output_count,wallet_age_days,total_wallet_transactions,avg_wallet_transaction_value,cross_border_flag,mixing_service_used,darknet_association_score,transaction_velocity_24h,unusual_pattern_score,risk_label
TX1,W25795,40.248537,0.00307,25,6,5,1776,7168,6.435886,0,0,0.105,168,0.677,0
TX2,W10860,48.366438,0.00058,144,19,6,1751,6198,4.183257,1,1,0.764,152,0.698,0
TX3,W86820,13.430678,0.007468,481,10,15,2051,4489,18.743126,0,0,0.784,115,0.062,0
TX4,W64886,24.741803,0.007486,293,3,6,2808,8436,17.446633,0,0,0.051,83,0.604,0
TX5,W16265,4.306719,0.00674,210,13,19,262,3746,19.854658,0,0,0.497,74,0.483,0
TX6,W92386,27.957274,0.006472,47,9,8,3752,5836,17.484579,0,0,0.948,120,0.837,0
TX7,W47194,25.139669,0.002513,122,17,13,1495,4840,3.226473,0,0,0.951,139,0.428,0
TX8,W97498,7.22268,0.000321,9,10,4,332,5456,24.465014,1,0,0.985,64,0.51,0
TX9,W54131,22.103869,0.008106,211,12,17,3013,7312,4.721035,0,0,0.657,80,0.58,0
TX10,W70263,16.705898,0.004962,349,13,14,261,6982,8.767737,0,1,0.141,143,0.587,0
TX11,W26023,26.092022,0.003138,146,10,18,3075,2950,17.674863,0,0,0.413,54,0.4,1
TX12,W51090,29.283131,0.001109,376,19,15,2820,8483,3.519819,0,0,0.727,165,0.166,0
TX13,W77221,0.42577,0.000721,236,19,19,447,5737,4.27095,0,0,0.284,42,0.251,1
TX14,W74820,38.050538,0.003554,168,17,11,1240,8323,21.915613,0,0,0.81,126,0.412,0
TX15,W10769,35.651002,0.008067,551,5,7,773,5397,8.307054,1,0,0.861,135,0.62,0
TX16,W69735,18.314953,0.009195,368,8,1,2527,1415,16.64295,0,0,0.764,52,0.455,0
TX17,W72955,2.647744,0.008978,339,5,3,2617,8094,21.470125,1,0,0.342,60,0.792,0
TX18,W74925,37.746872,0.009208,15,15,19,2915,6071,24.330286,0,0,0.741,69,0.575,0
TX19,W77969,47.758803,0.009086,412,4,1,3754,3929,5.265039,0,0,0.072,173,0.343,0
TX20,W15311,12.00834,0.00532,79,13,4,2643,6211,3.081974,0,0,0.335,136,0.497,1
TX21,W93104,16.176907,0.002272,304,17,11,2488,5866,18.521016,0,0,0.766,194,0.359,0
TX22,W63707,9.191461,0.008001,385,5,7,200,8585,4.713164,1,0,0.795,99,0.03,0
TX23,W95305,28.847229,0.002216,590,1,7,668,4073,14.508953,1,1,0.319,22,0.281,0
TX24,W38693,7.742915,0.002745,32,15,14,3895,2085,13.320803,0,0,0.96,30,0.451,0
TX25,W81932,17.810341,0.002409,467,10,15,2982,8789,14.002483,0,0,0.273,33,0.255,0
TX26,W35658,34.850954,0.005198,400,11,5,2327,9752,16.248323,1,1,0.66,34,0.72,0
TX27,W94478,28.006239,0.003286,380,18,14,1159,4988,21.273793,0,0,0.879,47,0.862,0
TX28,W28431,19.323742,0.001626,425,13,13,294,3198,6.802734,0,0,0.551,20,0.297,0
TX29,W12747,21.01306,0.004586,368,16,18,2253,9608,13.885531,1,0,0.412,66,0.024,0
TX30,W69150,28.105982,0.008752,220,19,1,2925,7665,8.423759,1,0,0.211,37,0.876,0
TX31,W75725,0.294231,0.005748,105,12,13,1721,7625,7.975164,0,0,0.196,52,0.577,0
TX32,W94654,3.926415,0.008796,97,14,7,85,1030,0.520285,0,0,0.159,34,0.006,0
TX33,W45773,44.063022,0.002039,579,2,6,293,849,14.989067,0,0,0.443,13,0.5,0
TX34,W77435,3.894872,0.001753,270,10,9,2438,2998,24.312914,1,0,0.548,79,0.097,0
TX35,W66886,35.340473,0.005798,210,4,10,1162,5485,19.033796,0,0,0.839,57,0.674,0
TX36,W76803,46.001988,0.004687,84,1,3,411,6801,6.077413,0,0,0.217,67,0.534,0
TX37,W41551,13.53491,0.006636,41,17,7,509,9523,17.905959,1,1,0.755,72,0.913,1
TX38,W21394,18.525201,0.007967,15,11,11,3956,1026,7.439663,0,0,0.694,37,0.395,0
TX39,W79092,28.446501,0.007538,94,7,12,3290,9010,18.843697,0,0,0.635,142,0.924,0
TX40,W13890,44.085567,0.009428,23,17,12,618,6372,21.37476,0,0,0.339,181,0.836,0
TX41,W51606,47.095337,0.004043,568,17,13,1081,1223,8.364893,0,0,0.318,64,0.752,0
TX42,W90038,36.978423,0.002143,378,9,8,2140,7932,0.064648,0,1,0.759,9,0.438,0
TX43,W97313,4.331901,0.005554,98,10,4,784,9616,7.632387,0,0,0.275,138,0.414,0
TX44,W20627,33.458039,0.001196,36,6,1,1394,3511,5.154351,1,0,0.33,94,0.395,0
TX45,W18792,20.515776,0.00296,144,17,6,2619,3534,15.469178,0,0,0.965,114,0.052,0
TX46,W83969,23.535579,0.002158,574,16,2,1436,3117,7.258921,0,0,0.998,163,0.606,0
TX47,W53001,2.45837,0.004026,25,7,14,771,5556,0.910797,0,0,0.002,56,0.798,0
TX48,W86552,9.553916,0.001201,153,19,18,1977,1569,13.288051,0,1,0.687,37,0.744,1
TX49,W33897,39.52589,0.000415,225,4,10,2241,408,21.868395,0,0,0.536,80,0.583,1
TX50,W78148,22.698488,0.006602,223,17,1,1141,1109,11.288962,0,0,0.46,195,0.357,0
TX51,W33483,15.08381,0.006141,545,9,3,707,2904,9.413674,0,0,0.276,106,0.695,0
TX52,W58555,19.20157,0.007113,563,11,4,2718,6173,4.471122,0,0,0.507,36,0.529,1
TX53,W27159,42.720121,0.006638,62,1,18,1299,1072,9.690683,0,0,0.457,17,0.84,0
TX54,W90077,37.450202,0.001232,429,7,8,3425,3218,8.279665,1,0,0.401,38,0.273,0
TX55,W45920,13.616498,0.002982,279,5,9,2952,9232,24.873125,0,0,0.85,163,0.102,0
TX56,W77121,5.875975,0.001382,144,5,19,3518,8539,0.771433,0,0,0.271,39,0.003,0
TX57,W79479,12.600659,0.008445,27,1,2,3859,6431,5.978821,0,0,0.597,6,0.743,0
TX58,W99475,46.037902,0.007494,382,6,9,3108,3356,1.725039,0,0,0.864,146,0.599,0
TX59,W29457,29.07986,0.002095,377,13,3,624,7144,21.436884,0,0,0.979,36,0.06,1
TX60,W76557,26.674477,0.003479,67,15,2,741,3635,10.438562,0,0,0.603,7,0.84,0
TX61,W87189,29.820084,0.009669,568,4,7,197,5659,19.908781,0,0,0.52,163,0.477,0
TX62,W88953,18.302047,0.005982,346,17,17,3900,377,17.306931,0,0,0.841,70,0.461,0
TX63,W62995,40.355544,0.008031,171,13,17,2338,3452,23.201509,1,1,0.188,91,0.685,0
TX64,W50757,26.164789,0.002719,155,11,9,3767,9124,0.603868,0,0,0.63,127,0.635,0
